"Laikotarpis","Rodiklis","Europos individualaus vartojimo išlaidų pagal paskirtį klasifikatorius (ECOICOP)","Matavimo vienetai","Reikšmė"
"2015M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,77"
"2015M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,63"
"2015M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,95"
"2015M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,82"
"2015M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,36"
"2015M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","101,05"
"2015M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","99,63"
"2015M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","100,20"
"2015M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","98,82"
"2015M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,17"
"2015M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","98,96"
"2015M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,51"
"2014M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,23"
"2014M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,28"
"2014M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,88"
"2014M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,92"
"2014M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,95"
"2014M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,62"
"2014M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,85"
"2014M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,23"
"2014M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,40"
"2014M08","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","99,29"
"2014M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,50"
"2014M07","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","98,55"
"2014M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,99"
"2014M06","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","98,05"
"2014M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","101,00"
"2014M05","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","98,42"
"2014M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","101,00"
"2014M04","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","97,57"
"2014M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,72"
"2014M03","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","96,86"
"2014M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,33"
"2014M02","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","96,78"
"2014M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,33"
"2014M01","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","95,91"
"2013M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,34"
"2013M12","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","95,25"
"2013M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,52"
"2013M11","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","95,86"
"2013M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,66"
"2013M10","Suderinti vartotojų kainų indeksai (2015 m. – 100)","ALKOHOLINIAI GĖRIMAI, TABAKAS IR NARKOTIKAI","-","95,47"
"2013M09","Suderinti vartotojų kainų indeksai (2015 m. – 100)","VARTOJIMO PREKĖS IR PASLAUGOS","-","100,84"
