"code";"en_long_title";"lt_long_title";"date";"value";"power"
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2011-Q1";4199447;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2011-Q2";4228973;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2011-Q3";4275676;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2011-Q4";3886099;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2012-Q1";3949028;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2012-Q2";3741795;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2012-Q3";3635138;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2012-Q4";3632634;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2013-Q1";3674433;1
"MSS.Q.S101.I10A.Z00Z.NT.X0.200.Z0Z.Z.A0000.SR";"Payments statistics; Quarterly; Number of cards; Cards issued by resident PSPs, except e money cards; Not applicable; Number; Not applicable; Non-MFIs/Non-banks; Not applicable; Not applicable; All Lithuanian payment service providers";"Mokėjimų statistika; Ketvirtinis; Kortelių skaičius; Šalyje įsteigtų mokėjimo paslaugų teikėjų išleistos kortelės (išskyrus korteles su el. pinigų funkcija); Netaikytina; Skaičius; Netaikytina; Ne pinigų finansų įstaigos (ne bankai); Netaikytina; Netaikytina; Visi Lietuvos mokėjimo paslaugų teikėjai";"2013-Q2";3572008;1
